посчитанно 5.035%. За 0.0 часов, 0.0 минут, 50.755 секунд.
посчитанно 10.07%. За 0.0 часов, 1.0 минут, 33.873 секунд.
посчитанно 15.105%. За 0.0 часов, 1.0 минут, 54.544 секунд.
посчитанно 20.0%. За 0.0 часов, 2.0 минут, 26.975 секунд.
посчитанно 25.035%. За 0.0 часов, 2.0 минут, 53.583 секунд.
посчитанно 30.07%. За 0.0 часов, 3.0 минут, 17.768 секунд.
посчитанно 35.105%. За 0.0 часов, 3.0 минут, 36.379 секунд.
посчитанно 40.0%. За 0.0 часов, 4.0 минут, 1.93 секунд.
посчитанно 45.035%. За 0.0 часов, 4.0 минут, 26.798 секунд.
посчитанно 50.07%. За 0.0 часов, 4.0 минут, 49.638 секунд.
посчитанно 55.105%. За 0.0 часов, 5.0 минут, 12.722 секунд.
посчитанно 60.0%. За 0.0 часов, 5.0 минут, 31.716 секунд.
посчитанно 65.035%. За 0.0 часов, 5.0 минут, 51.144 секунд.
посчитанно 70.07%. За 0.0 часов, 6.0 минут, 9.783 секунд.
посчитанно 75.105%. За 0.0 часов, 6.0 минут, 35.891 секунд.
посчитанно 80.0%. За 0.0 часов, 7.0 минут, 0.131 секунд.
посчитанно 85.035%. За 0.0 часов, 7.0 минут, 25.7 секунд.
посчитанно 90.07%. За 0.0 часов, 7.0 минут, 46.703 секунд.
посчитанно 95.105%. За 0.0 часов, 8.0 минут, 10.867 секунд.
                заняло 0.0 часов, 8.0 минут, 31.825 секунд.
